step,walltime,_timestamp,train/opt/update_rms
11040,2025-05-08 08:53:14.815202475,1746694394.8152025,1.0197620384054996e-05
18496,2025-05-08 08:55:24.519916057,1746694524.519916,9.166388663835148e-06
25344,2025-05-08 08:57:17.165134668,1746694637.1651347,8.067137258118134e-06
32672,2025-05-08 08:59:19.287846088,1746694759.287846,7.778996986095342e-06
39872,2025-05-08 09:01:25.668124914,1746694885.668125,7.76455165199271e-06
46688,2025-05-08 09:03:16.235276937,1746694996.235277,7.808093607443778e-06
54112,2025-05-08 09:05:21.886284828,1746695121.8862848,7.757906343078173e-06
61088,2025-05-08 09:07:22.533917188,1746695242.5339172,7.935771316117699e-06
68128,2025-05-08 09:09:20.314417601,1746695360.3144176,8.180016223232914e-06
75328,2025-05-08 09:11:18.406467438,1746695478.4064674,7.743949183804943e-06
82656,2025-05-08 09:13:20.728505611,1746695600.7285056,8.25710961132789e-06
89856,2025-05-08 09:15:17.489231348,1746695717.4892313,8.019583732069198e-06
97248,2025-05-08 09:17:29.633993626,1746695849.6339936,8.380908484301487e-06
103936,2025-05-08 09:19:18.022055864,1746695958.0220559,8.239086143517357e-06
111296,2025-05-08 09:21:25.282309771,1746696085.2823098,8.423456482808473e-06
118272,2025-05-08 09:23:21.941403389,1746696201.9414034,7.901750555743718e-06
125472,2025-05-08 09:25:18.558314323,1746696318.5583143,9.232256284627107e-06
132896,2025-05-08 09:27:26.266873360,1746696446.2668734,8.126754617239448e-06
139840,2025-05-08 09:29:19.157450676,1746696559.1574507,9.218738245189539e-06
147232,2025-05-08 09:31:27.624482632,1746696687.6244826,8.29102450709943e-06
154112,2025-05-08 09:33:19.468652487,1746696799.4686525,8.740737188270222e-06
161536,2025-05-08 09:35:36.082275152,1746696936.0822752,8.659575878619637e-06
167840,2025-05-08 09:37:21.281805038,1746697041.281805,8.086413194822055e-06
175200,2025-05-08 09:39:20.604915857,1746697160.6049159,8.374093464849268e-06
182592,2025-05-08 09:41:27.146132946,1746697287.146133,8.890091666791736e-06
189600,2025-05-08 09:43:21.007849932,1746697401.00785,8.67076688309971e-06
196992,2025-05-08 09:45:27.875180721,1746697527.8751807,8.521559431590669e-06
203968,2025-05-08 09:47:22.604894161,1746697642.6048942,8.227782618611912e-06
211296,2025-05-08 09:49:24.854585171,1746697764.8545852,8.26105709013945e-06
218432,2025-05-08 09:51:26.515920877,1746697886.5159209,8.375551719367927e-06
225568,2025-05-08 09:53:25.670805454,1746698005.6708055,9.368031868844266e-06
232768,2025-05-08 09:55:22.428510904,1746698122.428511,8.685863891615655e-06
240192,2025-05-08 09:57:25.452435493,1746698245.4524355,8.733547290297604e-06
247424,2025-05-08 09:59:26.165159941,1746698366.16516,8.564973983241149e-06
254624,2025-05-08 10:01:24.120095491,1746698484.1200955,8.417437666139449e-06
261952,2025-05-08 10:03:26.771742582,1746698606.7717426,8.417441782754736e-06
269152,2025-05-08 10:05:23.836585999,1746698723.836586,8.420782464276676e-06
276480,2025-05-08 10:07:33.210857868,1746698853.2108579,8.45848392562871e-06
283328,2025-05-08 10:09:24.301791191,1746698964.3017912,8.467367397358183e-06
290752,2025-05-08 10:11:31.211064816,1746699091.2110648,9.239162537255652e-06
297760,2025-05-08 10:13:24.965611696,1746699204.9656117,9.077929287940767e-06
305184,2025-05-08 10:15:35.973476648,1746699335.9734766,8.855267920133538e-06
311936,2025-05-08 10:17:27.152903080,1746699447.152903,8.822010392138133e-06
319264,2025-05-08 10:19:25.872934580,1746699565.8729346,8.825972314917837e-06
326592,2025-05-08 10:21:51.394050121,1746699711.3940501,8.843081582298664e-06
332448,2025-05-08 10:23:26.357064962,1746699806.357065,8.948141112465793e-06
339872,2025-05-08 10:25:36.821751118,1746699936.821751,9.437224964526963e-06
346656,2025-05-08 10:27:32.782682896,1746700052.782683,8.676229100501587e-06
353728,2025-05-08 10:29:30.752668619,1746700170.7526686,8.708450311371456e-06
360928,2025-05-08 10:31:28.642021418,1746700288.6420214,8.667861020007371e-06
368288,2025-05-08 10:33:27.953658104,1746700407.953658,8.66875648961982e-06
375680,2025-05-08 10:35:33.375169992,1746700533.37517,8.679439837405447e-06
382656,2025-05-08 10:37:29.172171116,1746700649.172171,8.700441696873895e-06
390016,2025-05-08 10:39:31.859255314,1746700771.8592553,8.72729933936843e-06
397216,2025-05-08 10:41:29.620758533,1746700889.6207585,8.69610969049164e-06
404544,2025-05-08 10:43:31.980406761,1746701011.9804068,8.77776431988379e-06
411744,2025-05-08 10:45:28.789913177,1746701128.7899132,8.778059279595457e-06
419136,2025-05-08 10:47:37.662892103,1746701257.662892,8.773041729779965e-06
425984,2025-05-08 10:49:28.951423883,1746701368.951424,8.730582711476052e-06
433312,2025-05-08 10:51:37.375135183,1746701497.3751352,8.752631428684238e-06
440192,2025-05-08 10:53:29.445631504,1746701609.4456315,8.784429285189491e-06
447616,2025-05-08 10:55:29.875992060,1746701729.875992,8.805035166942773e-06
455040,2025-05-08 10:57:36.396228790,1746701856.3962288,8.813589308613637e-06
462080,2025-05-08 10:59:30.556415558,1746701970.5564156,8.843471845859148e-06
469472,2025-05-08 11:01:39.286769152,1746702099.2867692,8.798852760752921e-06
476352,2025-05-08 11:03:30.912544966,1746702210.912545,8.825447759041115e-06
483776,2025-05-08 11:05:37.837658882,1746702337.837659,8.823852816174716e-06
490720,2025-05-08 11:07:32.807611942,1746702452.807612,8.813163473487168e-06
498080,2025-05-08 11:09:35.553162575,1746702575.5531626,8.829689263818538e-06
