step,walltime,_timestamp,train/ent/action
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,8.0434175448922
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,7.861799169231105
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,5.885549687050484
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,2.7168300317548146
21408,2025-05-19 14:21:22.528584956,1747664482.528585,0.730073012302994
24928,2025-05-19 14:23:21.808706999,1747664601.808707,-0.972343125549907
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,-1.4556054897136517
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,-2.385822446508841
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,-2.639770822362466
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,-2.825224687655767
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,-3.0960200529206885
46048,2025-05-19 14:35:24.900423050,1747665324.900423,-3.413467286674826
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,-3.4850020636846355
53024,2025-05-19 14:39:26.302659988,1747665566.30266,-3.730745643377304
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,-3.9346374465660614
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,-4.00967973687432
63616,2025-05-19 14:45:27.449976921,1747665927.449977,-4.314179827501108
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,-4.343317539305301
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,-4.409552848001696
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,-4.423888522225457
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,-4.457805385372856
81184,2025-05-19 14:55:33.495652914,1747666533.495653,-4.546718769245319
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,-4.63342084561553
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,-4.735437903079119
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,-4.726829445039904
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,-4.695384289459748
98752,2025-05-19 15:05:35.956784010,1747667135.956784,-4.6458655429316
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,-4.779413395457798
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,-4.771939851479097
109248,2025-05-19 15:11:35.514396667,1747667495.5143967,-4.74777705615217
112768,2025-05-19 15:13:38.380566597,1747667618.3805666,-4.757325463403355
116224,2025-05-19 15:15:35.537846088,1747667735.537846,-4.777718041230131
119776,2025-05-19 15:17:37.521825075,1747667857.521825,-4.7924272928152
123296,2025-05-19 15:19:36.949632168,1747667976.9496322,-4.825953721458261
126848,2025-05-19 15:21:38.916789532,1747668098.9167895,-4.830580716734534
130368,2025-05-19 15:23:42.053158283,1747668222.0531583,-4.8503869934515516
133824,2025-05-19 15:25:39.286798239,1747668339.2867982,-4.833689495921135
137344,2025-05-19 15:27:40.796781063,1747668460.796781,-4.87287191640247
140864,2025-05-19 15:29:40.095939636,1747668580.0959396,-4.879439834573052
144416,2025-05-19 15:31:45.364200354,1747668705.3642004,-4.905331568674998
147840,2025-05-19 15:33:41.403523922,1747668821.403524,-4.9231707269900316
151392,2025-05-19 15:35:41.824890614,1747668941.8248906,-4.916031612469269
154944,2025-05-19 15:37:43.630228281,1747669063.6302283,-4.849786531817806
158464,2025-05-19 15:39:42.913809299,1747669182.9138093,-4.902710050886328
161984,2025-05-19 15:41:47.782854080,1747669307.782854,-4.901309264248067
165408,2025-05-19 15:43:43.752321482,1747669423.7523215,-4.9552301836905075
168960,2025-05-19 15:45:44.070061684,1747669544.0700617,-4.926192678309776
172512,2025-05-19 15:47:46.938723326,1747669666.9387233,-4.974865640605892
176000,2025-05-19 15:49:45.092893839,1747669785.0928938,-4.935372560396107
179552,2025-05-19 15:51:50.559637308,1747669910.5596373,-4.955195306120692
182976,2025-05-19 15:53:46.559751987,1747670026.559752,-4.953335114171572
186528,2025-05-19 15:55:46.973790169,1747670146.9737902,-5.0049387995187224
190080,2025-05-19 15:57:49.351510048,1747670269.35151,-4.997379494679941
193600,2025-05-19 15:59:52.143643379,1747670392.1436434,-4.964102938500318
197056,2025-05-19 16:01:50.712171078,1747670510.712171,-4.993277495657956
200576,2025-05-19 16:03:49.956681252,1747670629.9566813,-5.0146366076035935
204128,2025-05-19 16:05:50.349941730,1747670750.3499417,-5.006546141328038
207680,2025-05-19 16:07:52.163229465,1747670872.1632295,-5.009606839837255
211200,2025-05-19 16:09:54.990927219,1747670994.9909272,-5.022204002467069
214624,2025-05-19 16:11:52.929367304,1747671112.9293673,-4.97040241789595
218144,2025-05-19 16:13:52.174226761,1747671232.1742268,-4.975817251205444
221696,2025-05-19 16:15:52.531279802,1747671352.5312798,-5.014496197034647
225248,2025-05-19 16:17:57.814453363,1747671477.8144534,-5.01561060843167
228672,2025-05-19 16:19:53.873765945,1747671593.873766,-5.031854444575087
232224,2025-05-19 16:21:55.888797998,1747671715.888798,-4.98648652461198
235744,2025-05-19 16:23:55.148148060,1747671835.148148,-5.029586879231713
239296,2025-05-19 16:25:55.525610209,1747671955.5256102,-5.032431481120823
242848,2025-05-19 16:28:01.871626377,1747672081.8716264,-5.0434138441944985
246240,2025-05-19 16:29:56.853270054,1747672196.85327,-5.055650743111125
249792,2025-05-19 16:31:58.693293095,1747672318.693293,-5.065896039610511
253312,2025-05-19 16:33:57.976869822,1747672437.9768698,-5.036731646277688
256864,2025-05-19 16:36:01.995666742,1747672561.9956667,-5.054526382201427
260320,2025-05-19 16:38:00.502874374,1747672680.5028744,-5.065148146616088
263840,2025-05-19 16:39:59.766632080,1747672799.766632,-5.08851101344282
267360,2025-05-19 16:42:01.122768402,1747672921.1227684,-5.075487273931503
270880,2025-05-19 16:44:00.384345055,1747673040.384345,-5.075299868258563
274432,2025-05-19 16:46:04.263636588,1747673164.2636366,-5.072840602548273
277888,2025-05-19 16:48:02.763467789,1747673282.7634678,-5.120960689805172
281408,2025-05-19 16:50:02.047858715,1747673402.0478587,-5.078624725883658
284960,2025-05-19 16:52:04.096445322,1747673524.0964453,-5.103212053174371
288480,2025-05-19 16:54:03.350425482,1747673643.3504255,-5.113684917579998
292032,2025-05-19 16:56:07.289979696,1747673767.2899797,-5.127563319227717
295456,2025-05-19 16:58:05.341565371,1747673885.3415654,-5.104382458134232
298976,2025-05-19 17:00:04.611531258,1747674004.6115313,-5.092921891537579
302528,2025-05-19 17:02:06.410092115,1747674126.410092,-5.075197168835649
306048,2025-05-19 17:04:09.200087786,1747674249.2000878,-5.0487387689677155
