step,walltime,_timestamp,train/opt/update_rms
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,6.8013592749993634e-06
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,1.230310908283115e-05
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,1.0413999664681771e-05
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,9.333527134139816e-06
21408,2025-05-19 14:21:22.528584956,1747664482.528585,8.787254674618654e-06
24928,2025-05-19 14:23:21.808706999,1747664601.808707,8.317871615045905e-06
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,8.067801766665562e-06
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,8.00338408039765e-06
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,8.008439457605412e-06
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,8.021160816177278e-06
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,7.855904928274784e-06
46048,2025-05-19 14:35:24.900423050,1747665324.900423,8.199848598512807e-06
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,7.87784629179638e-06
53024,2025-05-19 14:39:26.302659988,1747665566.30266,8.2835046125064e-06
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,7.7315135141279e-06
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,8.024382872339298e-06
63616,2025-05-19 14:45:27.449976921,1747665927.449977,8.055191625698097e-06
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,7.700678749257875e-06
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,7.969606953475653e-06
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,8.165001935828292e-06
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,8.164475117796014e-06
81184,2025-05-19 14:55:33.495652914,1747666533.495653,7.702700019808208e-06
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,8.245831637718893e-06
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,8.56817872700462e-06
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,8.139029032176663e-06
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,7.908108105167146e-06
98752,2025-05-19 15:05:35.956784010,1747667135.956784,8.324562886402648e-06
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,8.515710583702054e-06
