step,walltime,_timestamp,train/tar
7424,2025-05-19 14:13:18.715891600,1747663998.7158916,0.34153093719918703
10976,2025-05-19 14:15:19.126817703,1747664119.1268177,3.208862036869333
14528,2025-05-19 14:17:24.113776684,1747664244.1137767,9.917676337130436
17952,2025-05-19 14:19:23.748443127,1747664363.7484431,19.409781291106036
21408,2025-05-19 14:21:22.528584956,1747664482.528585,29.071669278321444
24928,2025-05-19 14:23:21.808706999,1747664601.808707,38.33800023685802
28480,2025-05-19 14:25:22.201220512,1747664722.2012205,47.33307945406115
32000,2025-05-19 14:27:23.998464584,1747664843.9984646,55.22530558759516
35520,2025-05-19 14:29:26.774660826,1747664966.7746608,61.803900788047095
38976,2025-05-19 14:31:25.416535378,1747665085.4165354,68.62584220921552
42496,2025-05-19 14:33:24.623862505,1747665204.6238625,75.57324554269964
46048,2025-05-19 14:35:24.900423050,1747665324.900423,81.60508136061935
49600,2025-05-19 14:37:30.232481480,1747665450.2324815,89.47930023262093
53024,2025-05-19 14:39:26.302659988,1747665566.30266,95.5421892950468
56544,2025-05-19 14:41:27.877771854,1747665687.8777719,103.59900041060014
60064,2025-05-19 14:43:27.133195162,1747665807.1331952,110.26726217269898
63616,2025-05-19 14:45:27.449976921,1747665927.449977,115.6170028394407
67168,2025-05-19 14:47:32.976355791,1747666052.9763558,122.05150132565885
70560,2025-05-19 14:49:28.066052675,1747666168.0660527,127.63588679511592
74112,2025-05-19 14:51:29.912664413,1747666289.9126644,130.65577134140977
77632,2025-05-19 14:53:29.301014423,1747666409.3010144,134.83686604933305
81184,2025-05-19 14:55:33.495652914,1747666533.495653,140.87734359878678
84608,2025-05-19 14:57:31.609487772,1747666651.6094878,147.92159980702624
88128,2025-05-19 14:59:30.891576290,1747666770.8915763,153.51291398135098
91680,2025-05-19 15:01:32.696574688,1747666892.6965747,161.4588666520677
95200,2025-05-19 15:03:31.982528448,1747667011.9825284,169.06114848743786
98752,2025-05-19 15:05:35.956784010,1747667135.956784,174.6291870082821
102208,2025-05-19 15:07:34.754376411,1747667254.7543764,178.2361312618962
105728,2025-05-19 15:09:34.115593433,1747667374.1155934,182.6443252390081
